Date/Time,Total_Demand_kWh,Aircon_kWh,Plugs_kWh,Lighting_kWh,Other_kWh
5/04/2024 3:00,0.3504,0.071023,0.244897,0.026523,0.007957
5/04/2024 4:00,0.1339,0.0278,0.092986,0.010008,0.003106
5/04/2024 5:00,0.1338,0.034698,0.085802,0.010542,0.002758
5/04/2024 6:00,0.1287,0.040137,0.073465,0.012631,0.002467
5/04/2024 7:00,0.3016,0.121298,0.14781,0.027486,0.005006
5/04/2024 8:00,0.1775,0.071553,0.089108,0.013051,0.003787
5/04/2024 9:00,0.0932,0.031556,0.053184,0.006049,0.002411
5/04/2024 10:00,0.0974,0.02875,0.058193,0.006324,0.004134
5/04/2024 11:00,0.2181,0.134155,0.032876,0.028435,0.022634
5/04/2024 12:00,0.5201,0.319547,0.071363,0.063007,0.066182
5/04/2024 13:00,3.0183,0.894592,1.820321,0.150641,0.152745
5/04/2024 14:00,2.3097,0.735106,1.361085,0.11229,0.101219
5/04/2024 15:00,0.5567,0.192805,0.313725,0.026256,0.023914
5/04/2024 16:00,0.8681,0.324521,0.450129,0.043604,0.049846
5/04/2024 17:00,1.0119,0.380833,0.46191,0.068928,0.100228
5/04/2024 18:00,2.0015,0.723884,0.862247,0.166932,0.248437
5/04/2024 19:00,0.316,0.116952,0.148264,0.03205,0.018733
5/04/2024 20:00,0.3995,0.15353,0.192549,0.04555,0.007871
5/04/2024 21:00,2.1225,0.806149,1.032971,0.252351,0.031028
5/04/2024 22:00,1.6641,0.599967,0.847522,0.196113,0.020498
5/04/2024 23:00,0.2336,0.069616,0.136402,0.0243,0.003283
6/04/2024 0:00,0.3349,0.076084,0.225574,0.027887,0.005355
6/04/2024 1:00,0.21,0.043029,0.146971,0.015913,0.004087
6/04/2024 2:00,0.2309,0.046325,0.161836,0.01772,0.00502
6/04/2024 3:00,0.2046,0.041471,0.142996,0.015487,0.004646
6/04/2024 4:00,0.1336,0.027738,0.092778,0.009986,0.003099
6/04/2024 5:00,0.141,0.036565,0.09042,0.011109,0.002906
6/04/2024 6:00,0.1317,0.041073,0.075178,0.012925,0.002524
6/04/2024 7:00,0.8859,0.356293,0.434169,0.080734,0.014704
6/04/2024 8:00,0.1297,0.052284,0.065112,0.009537,0.002768
6/04/2024 9:00,0.2484,0.084105,0.141747,0.016121,0.006426
6/04/2024 10:00,3.2161,0.949297,1.921512,0.208805,0.136487
6/04/2024 11:00,3.4225,2.105203,0.515904,0.446218,0.355176
6/04/2024 12:00,2.2588,1.387797,0.309932,0.27364,0.287431
6/04/2024 13:00,0.1243,0.036841,0.074965,0.006204,0.00629
6/04/2024 14:00,0.0954,0.030363,0.056218,0.004638,0.004181
